id,name,protein,carb,vegetable,sauce,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,prep_time_min,difficulty,ingredient_quantities,appliances,tags,instructions
12,chicken_tortilla_12,chicken,tortilla,broccoli,garlic sauce,710,62,75,18,8,4,401,16,quick,chicken:200g; tortilla:150g; broccoli:100g; garlic sauce:75g; oil:10g,"microwave, stovetop, oven","batch-cooking, meal-prep, quick, microwave, stovetop, oven",1. Batch cook chicken (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook broccoli. 4. Combine chicken with garlic sauce. 5. Serve with tortilla.
13,beef_rice_13,beef,rice,onion,garlic sauce,736,52,42,40,4,2,368,19,quick,beef:200g; rice:150g; onion:100g; garlic sauce:75g; oil:10g,oven,"batch-cooking, meal-prep, quick, oven",1. Batch cook beef (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook onion. 4. Combine beef with garlic sauce. 5. Serve with rice.
14,beef_rice_14,beef,rice,spinach,cream sauce,736,52,42,40,4,2,393,23,quick,beef:200g; rice:150g; spinach:100g; cream sauce:75g; oil:10g,"stovetop, oven, slow cooker","batch-cooking, meal-prep, quick, stovetop, oven, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook spinach. 4. Combine beef with cream sauce. 5. Serve with rice.
15,beef_pasta_15,beef,pasta,broccoli,soy sauce,718,52,38,40,4,2,498,86,weekend,beef:200g; pasta:150g; broccoli:100g; soy sauce:75g; oil:10g,"air fryer, slow cooker","batch-cooking, meal-prep, weekend, air fryer, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Marinate the beef for better flavor. 3. Prepare pasta in bulk. 4. Cook broccoli. 5. Combine beef with soy sauce. 6. Serve with pasta. 7. Plate carefully and add garnish.
16,beef_pasta_16,beef,pasta,green beans,soy sauce,718,52,38,40,4,2,446,33,balanced,beef:200g; pasta:150g; green beans:100g; soy sauce:75g; oil:10g,"microwave, stovetop, oven","batch-cooking, meal-prep, balanced, microwave, stovetop, oven",1. Batch cook beef (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook green beans. 4. Combine beef with soy sauce. 5. Serve with pasta.
17,beef_potatoes_17,beef,potatoes,peppers,garlic sauce,670,52,26,40,3,1,594,58,weekend,beef:200g; potatoes:150g; peppers:100g; garlic sauce:75g; oil:10g,oven,"batch-cooking, meal-prep, weekend, oven",1. Batch cook beef (store for 2–3 meals). 2. Marinate the beef for better flavor. 3. Prepare potatoes in bulk. 4. Cook peppers. 5. Combine beef with garlic sauce. 6. Serve with potatoes. 7. Plate carefully and add garnish.
18,beef_potatoes_18,beef,potatoes,carrots,soy sauce,670,52,26,40,3,1,569,87,weekend,beef:200g; potatoes:150g; carrots:100g; soy sauce:75g; oil:10g,"microwave, slow cooker","batch-cooking, meal-prep, weekend, microwave, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Marinate the beef for better flavor. 3. Prepare potatoes in bulk. 4. Cook carrots. 5. Combine beef with soy sauce. 6. Serve with potatoes. 7. Plate carefully and add garnish.
19,beef_quinoa_19,beef,quinoa,spinach,pesto,718,58,32,40,3,2,741,17,quick,beef:200g; quinoa:150g; spinach:100g; pesto:75g; oil:10g,"air fryer, microwave, stovetop","batch-cooking, meal-prep, quick, air fryer, microwave, stovetop",1. Batch cook beef (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook spinach. 4. Combine beef with pesto. 5. Serve with quinoa.
20,beef_quinoa_20,beef,quinoa,green beans,soy sauce,718,58,32,40,3,2,598,12,quick,beef:200g; quinoa:150g; green beans:100g; soy sauce:75g; oil:10g,"oven, slow cooker","batch-cooking, meal-prep, quick, oven, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook green beans. 4. Combine beef with soy sauce. 5. Serve with quinoa.
21,beef_noodles_21,beef,noodles,zucchini,tomato sauce,730,52,40,40,4,2,781,36,balanced,beef:200g; noodles:150g; zucchini:100g; tomato sauce:75g; oil:10g,"microwave, stovetop, slow cooker","batch-cooking, meal-prep, balanced, microwave, stovetop, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook zucchini. 4. Combine beef with tomato sauce. 5. Serve with noodles.
22,beef_noodles_22,beef,noodles,green beans,teriyaki,730,52,40,40,4,2,479,22,quick,beef:200g; noodles:150g; green beans:100g; teriyaki:75g; oil:10g,"air fryer, microwave, oven","batch-cooking, meal-prep, quick, air fryer, microwave, oven",1. Batch cook beef (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook green beans. 4. Combine beef with teriyaki. 5. Serve with noodles.
23,beef_tortilla_23,beef,tortilla,peppers,tomato sauce,868,52,75,40,8,4,327,45,weekend,beef:200g; tortilla:150g; peppers:100g; tomato sauce:75g; oil:10g,"stovetop, oven, slow cooker","batch-cooking, meal-prep, weekend, stovetop, oven, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Marinate the beef for better flavor. 3. Prepare tortilla in bulk. 4. Cook peppers. 5. Combine beef with tomato sauce. 6. Serve with tortilla. 7. Plate carefully and add garnish.
24,beef_tortilla_24,beef,tortilla,broccoli,garlic sauce,868,52,75,40,8,4,784,13,quick,beef:200g; tortilla:150g; broccoli:100g; garlic sauce:75g; oil:10g,"air fryer, microwave, slow cooker","batch-cooking, meal-prep, quick, air fryer, microwave, slow cooker",1. Batch cook beef (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook broccoli. 4. Combine beef with garlic sauce. 5. Serve with tortilla.
25,pork_rice_25,pork,rice,carrots,soy sauce,726,54,42,38,4,2,394,13,quick,pork:200g; rice:150g; carrots:100g; soy sauce:75g; oil:10g,"air fryer, stovetop, slow cooker","batch-cooking, meal-prep, quick, air fryer, stovetop, slow cooker",1. Batch cook pork (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook carrots. 4. Combine pork with soy sauce. 5. Serve with rice.
26,pork_rice_26,pork,rice,peppers,tomato sauce,726,54,42,38,4,2,657,31,balanced,pork:200g; rice:150g; peppers:100g; tomato sauce:75g; oil:10g,"air fryer, stovetop","batch-cooking, meal-prep, balanced, air fryer, stovetop",1. Batch cook pork (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook peppers. 4. Combine pork with tomato sauce. 5. Serve with rice.
27,pork_pasta_27,pork,pasta,spinach,garlic sauce,708,54,38,38,4,2,626,15,quick,pork:200g; pasta:150g; spinach:100g; garlic sauce:75g; oil:10g,microwave,"batch-cooking, meal-prep, quick, microwave",1. Batch cook pork (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook spinach. 4. Combine pork with garlic sauce. 5. Serve with pasta.
28,pork_pasta_28,pork,pasta,carrots,soy sauce,708,54,38,38,4,2,513,47,weekend,pork:200g; pasta:150g; carrots:100g; soy sauce:75g; oil:10g,"air fryer, microwave, oven","batch-cooking, meal-prep, weekend, air fryer, microwave, oven",1. Batch cook pork (store for 2–3 meals). 2. Marinate the pork for better flavor. 3. Prepare pasta in bulk. 4. Cook carrots. 5. Combine pork with soy sauce. 6. Serve with pasta. 7. Plate carefully and add garnish.
29,pork_potatoes_29,pork,potatoes,spinach,cream sauce,660,54,26,38,3,1,428,17,quick,pork:200g; potatoes:150g; spinach:100g; cream sauce:75g; oil:10g,"microwave, oven, slow cooker","batch-cooking, meal-prep, quick, microwave, oven, slow cooker",1. Batch cook pork (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook spinach. 4. Combine pork with cream sauce. 5. Serve with potatoes.
30,pork_potatoes_30,pork,potatoes,green beans,garlic sauce,660,54,26,38,3,1,787,37,balanced,pork:200g; potatoes:150g; green beans:100g; garlic sauce:75g; oil:10g,"air fryer, stovetop","batch-cooking, meal-prep, balanced, air fryer, stovetop",1. Batch cook pork (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook green beans. 4. Combine pork with garlic sauce. 5. Serve with potatoes.
31,pork_quinoa_31,pork,quinoa,onion,soy sauce,708,60,32,38,3,2,758,76,weekend,pork:200g; quinoa:150g; onion:100g; soy sauce:75g; oil:10g,"microwave, oven","batch-cooking, meal-prep, weekend, microwave, oven",1. Batch cook pork (store for 2–3 meals). 2. Marinate the pork for better flavor. 3. Prepare quinoa in bulk. 4. Cook onion. 5. Combine pork with soy sauce. 6. Serve with quinoa. 7. Plate carefully and add garnish.
32,pork_quinoa_32,pork,quinoa,zucchini,soy sauce,708,60,32,38,3,2,627,25,quick,pork:200g; quinoa:150g; zucchini:100g; soy sauce:75g; oil:10g,stovetop,"batch-cooking, meal-prep, quick, stovetop",1. Batch cook pork (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook zucchini. 4. Combine pork with soy sauce. 5. Serve with quinoa.
33,pork_noodles_33,pork,noodles,zucchini,cream sauce,720,54,40,38,4,2,743,16,quick,pork:200g; noodles:150g; zucchini:100g; cream sauce:75g; oil:10g,"air fryer, microwave","batch-cooking, meal-prep, quick, air fryer, microwave",1. Batch cook pork (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook zucchini. 4. Combine pork with cream sauce. 5. Serve with noodles.
34,pork_noodles_34,pork,noodles,spinach,tomato sauce,720,54,40,38,4,2,783,10,quick,pork:200g; noodles:150g; spinach:100g; tomato sauce:75g; oil:10g,"stovetop, oven, slow cooker","batch-cooking, meal-prep, quick, stovetop, oven, slow cooker",1. Batch cook pork (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook spinach. 4. Combine pork with tomato sauce. 5. Serve with noodles.
35,pork_tortilla_35,pork,tortilla,green beans,teriyaki,858,54,75,38,8,4,498,20,quick,pork:200g; tortilla:150g; green beans:100g; teriyaki:75g; oil:10g,stovetop,"batch-cooking, meal-prep, quick, stovetop",1. Batch cook pork (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook green beans. 4. Combine pork with teriyaki. 5. Serve with tortilla.
36,pork_tortilla_36,pork,tortilla,carrots,tomato sauce,858,54,75,38,8,4,364,21,quick,pork:200g; tortilla:150g; carrots:100g; tomato sauce:75g; oil:10g,air fryer,"batch-cooking, meal-prep, quick, air fryer",1. Batch cook pork (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook carrots. 4. Combine pork with tomato sauce. 5. Serve with tortilla.
37,tofu_rice_37,tofu,rice,peppers,pesto,412,16,42,20,4,2,553,29,balanced,tofu:200g; rice:150g; peppers:100g; pesto:75g; oil:10g,stovetop,"batch-cooking, meal-prep, balanced, stovetop",1. Batch cook tofu (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook peppers. 4. Combine tofu with pesto. 5. Serve with rice.
38,tofu_rice_38,tofu,rice,onion,tomato sauce,412,16,42,20,4,2,376,19,quick,tofu:200g; rice:150g; onion:100g; tomato sauce:75g; oil:10g,air fryer,"batch-cooking, meal-prep, quick, air fryer",1. Batch cook tofu (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook onion. 4. Combine tofu with tomato sauce. 5. Serve with rice.
39,tofu_pasta_39,tofu,pasta,spinach,pesto,394,16,38,20,4,2,689,45,balanced,tofu:200g; pasta:150g; spinach:100g; pesto:75g; oil:10g,"oven, slow cooker","batch-cooking, meal-prep, balanced, oven, slow cooker",1. Batch cook tofu (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook spinach. 4. Combine tofu with pesto. 5. Serve with pasta.
40,tofu_pasta_40,tofu,pasta,carrots,tomato sauce,394,16,38,20,4,2,425,11,quick,tofu:200g; pasta:150g; carrots:100g; tomato sauce:75g; oil:10g,"microwave, oven","batch-cooking, meal-prep, quick, microwave, oven",1. Batch cook tofu (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook carrots. 4. Combine tofu with tomato sauce. 5. Serve with pasta.
41,tofu_potatoes_41,tofu,potatoes,carrots,tomato sauce,346,16,26,20,3,1,347,25,balanced,tofu:200g; potatoes:150g; carrots:100g; tomato sauce:75g; oil:10g,"air fryer, microwave, stovetop","batch-cooking, meal-prep, balanced, air fryer, microwave, stovetop",1. Batch cook tofu (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook carrots. 4. Combine tofu with tomato sauce. 5. Serve with potatoes.
42,tofu_potatoes_42,tofu,potatoes,green beans,garlic sauce,346,16,26,20,3,1,530,23,quick,tofu:200g; potatoes:150g; green beans:100g; garlic sauce:75g; oil:10g,oven,"batch-cooking, meal-prep, quick, oven",1. Batch cook tofu (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook green beans. 4. Combine tofu with garlic sauce. 5. Serve with potatoes.
43,tofu_quinoa_43,tofu,quinoa,green beans,cream sauce,394,22,32,20,3,2,359,23,quick,tofu:200g; quinoa:150g; green beans:100g; cream sauce:75g; oil:10g,"air fryer, microwave","batch-cooking, meal-prep, quick, air fryer, microwave",1. Batch cook tofu (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook green beans. 4. Combine tofu with cream sauce. 5. Serve with quinoa.
44,tofu_quinoa_44,tofu,quinoa,green beans,cream sauce,394,22,32,20,3,2,595,50,weekend,tofu:200g; quinoa:150g; green beans:100g; cream sauce:75g; oil:10g,"stovetop, oven","batch-cooking, meal-prep, weekend, stovetop, oven",1. Batch cook tofu (store for 2–3 meals). 2. Marinate the tofu for better flavor. 3. Prepare quinoa in bulk. 4. Cook green beans. 5. Combine tofu with cream sauce. 6. Serve with quinoa. 7. Plate carefully and add garnish.
45,tofu_noodles_45,tofu,noodles,broccoli,soy sauce,406,16,40,20,4,2,671,33,balanced,tofu:200g; noodles:150g; broccoli:100g; soy sauce:75g; oil:10g,"stovetop, oven","batch-cooking, meal-prep, balanced, stovetop, oven",1. Batch cook tofu (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook broccoli. 4. Combine tofu with soy sauce. 5. Serve with noodles.
46,tofu_noodles_46,tofu,noodles,peppers,cream sauce,406,16,40,20,4,2,577,27,balanced,tofu:200g; noodles:150g; peppers:100g; cream sauce:75g; oil:10g,"microwave, stovetop, oven","batch-cooking, meal-prep, balanced, microwave, stovetop, oven",1. Batch cook tofu (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook peppers. 4. Combine tofu with cream sauce. 5. Serve with noodles.
47,tofu_tortilla_47,tofu,tortilla,green beans,tomato sauce,544,16,75,20,8,4,559,32,balanced,tofu:200g; tortilla:150g; green beans:100g; tomato sauce:75g; oil:10g,"air fryer, stovetop, slow cooker","batch-cooking, meal-prep, balanced, air fryer, stovetop, slow cooker",1. Batch cook tofu (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook green beans. 4. Combine tofu with tomato sauce. 5. Serve with tortilla.
48,tofu_tortilla_48,tofu,tortilla,onion,soy sauce,544,16,75,20,8,4,350,18,quick,tofu:200g; tortilla:150g; onion:100g; soy sauce:75g; oil:10g,slow cooker,"batch-cooking, meal-prep, quick, slow cooker",1. Batch cook tofu (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook onion. 4. Combine tofu with soy sauce. 5. Serve with tortilla.
49,salmon_rice_49,salmon,rice,spinach,garlic sauce,692,50,42,36,4,2,687,35,balanced,salmon:200g; rice:150g; spinach:100g; garlic sauce:75g; oil:10g,"air fryer, microwave, stovetop","batch-cooking, meal-prep, balanced, air fryer, microwave, stovetop",1. Batch cook salmon (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook spinach. 4. Combine salmon with garlic sauce. 5. Serve with rice.
50,salmon_rice_50,salmon,rice,carrots,garlic sauce,692,50,42,36,4,2,560,15,quick,salmon:200g; rice:150g; carrots:100g; garlic sauce:75g; oil:10g,"microwave, oven","batch-cooking, meal-prep, quick, microwave, oven",1. Batch cook salmon (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook carrots. 4. Combine salmon with garlic sauce. 5. Serve with rice.
51,salmon_pasta_51,salmon,pasta,onion,garlic sauce,674,50,38,36,4,2,484,22,quick,salmon:200g; pasta:150g; onion:100g; garlic sauce:75g; oil:10g,oven,"batch-cooking, meal-prep, quick, oven",1. Batch cook salmon (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook onion. 4. Combine salmon with garlic sauce. 5. Serve with pasta.
52,salmon_pasta_52,salmon,pasta,zucchini,pesto,674,50,38,36,4,2,692,25,balanced,salmon:200g; pasta:150g; zucchini:100g; pesto:75g; oil:10g,"air fryer, microwave","batch-cooking, meal-prep, balanced, air fryer, microwave",1. Batch cook salmon (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook zucchini. 4. Combine salmon with pesto. 5. Serve with pasta.
53,salmon_potatoes_53,salmon,potatoes,spinach,cream sauce,626,50,26,36,3,1,558,28,balanced,salmon:200g; potatoes:150g; spinach:100g; cream sauce:75g; oil:10g,"air fryer, stovetop, oven","batch-cooking, meal-prep, balanced, air fryer, stovetop, oven",1. Batch cook salmon (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook spinach. 4. Combine salmon with cream sauce. 5. Serve with potatoes.
54,salmon_potatoes_54,salmon,potatoes,carrots,cream sauce,626,50,26,36,3,1,579,89,weekend,salmon:200g; potatoes:150g; carrots:100g; cream sauce:75g; oil:10g,microwave,"batch-cooking, meal-prep, weekend, microwave",1. Batch cook salmon (store for 2–3 meals). 2. Marinate the salmon for better flavor. 3. Prepare potatoes in bulk. 4. Cook carrots. 5. Combine salmon with cream sauce. 6. Serve with potatoes. 7. Plate carefully and add garnish.
55,salmon_quinoa_55,salmon,quinoa,green beans,cream sauce,674,56,32,36,3,2,800,13,quick,salmon:200g; quinoa:150g; green beans:100g; cream sauce:75g; oil:10g,"air fryer, stovetop","batch-cooking, meal-prep, quick, air fryer, stovetop",1. Batch cook salmon (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook green beans. 4. Combine salmon with cream sauce. 5. Serve with quinoa.
56,salmon_quinoa_56,salmon,quinoa,green beans,pesto,674,56,32,36,3,2,763,23,quick,salmon:200g; quinoa:150g; green beans:100g; pesto:75g; oil:10g,stovetop,"batch-cooking, meal-prep, quick, stovetop",1. Batch cook salmon (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook green beans. 4. Combine salmon with pesto. 5. Serve with quinoa.
57,salmon_noodles_57,salmon,noodles,green beans,soy sauce,686,50,40,36,4,2,615,23,quick,salmon:200g; noodles:150g; green beans:100g; soy sauce:75g; oil:10g,"microwave, slow cooker","batch-cooking, meal-prep, quick, microwave, slow cooker",1. Batch cook salmon (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook green beans. 4. Combine salmon with soy sauce. 5. Serve with noodles.
58,salmon_noodles_58,salmon,noodles,onion,cream sauce,686,50,40,36,4,2,693,57,weekend,salmon:200g; noodles:150g; onion:100g; cream sauce:75g; oil:10g,"microwave, stovetop, oven","batch-cooking, meal-prep, weekend, microwave, stovetop, oven",1. Batch cook salmon (store for 2–3 meals). 2. Marinate the salmon for better flavor. 3. Prepare noodles in bulk. 4. Cook onion. 5. Combine salmon with cream sauce. 6. Serve with noodles. 7. Plate carefully and add garnish.
59,salmon_tortilla_59,salmon,tortilla,onion,cream sauce,824,50,75,36,8,4,707,22,quick,salmon:200g; tortilla:150g; onion:100g; cream sauce:75g; oil:10g,slow cooker,"batch-cooking, meal-prep, quick, slow cooker",1. Batch cook salmon (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook onion. 4. Combine salmon with cream sauce. 5. Serve with tortilla.
60,salmon_tortilla_60,salmon,tortilla,spinach,pesto,824,50,75,36,8,4,711,24,quick,salmon:200g; tortilla:150g; spinach:100g; pesto:75g; oil:10g,slow cooker,"batch-cooking, meal-prep, quick, slow cooker",1. Batch cook salmon (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook spinach. 4. Combine salmon with pesto. 5. Serve with tortilla.
61,turkey_rice_61,turkey,rice,peppers,garlic sauce,526,58,42,14,4,2,473,16,quick,turkey:200g; rice:150g; peppers:100g; garlic sauce:75g; oil:10g,"air fryer, stovetop","batch-cooking, meal-prep, quick, air fryer, stovetop",1. Batch cook turkey (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook peppers. 4. Combine turkey with garlic sauce. 5. Serve with rice.
62,turkey_rice_62,turkey,rice,carrots,tomato sauce,526,58,42,14,4,2,309,70,weekend,turkey:200g; rice:150g; carrots:100g; tomato sauce:75g; oil:10g,"microwave, slow cooker","batch-cooking, meal-prep, weekend, microwave, slow cooker",1. Batch cook turkey (store for 2–3 meals). 2. Marinate the turkey for better flavor. 3. Prepare rice in bulk. 4. Cook carrots. 5. Combine turkey with tomato sauce. 6. Serve with rice. 7. Plate carefully and add garnish.
63,turkey_pasta_63,turkey,pasta,peppers,teriyaki,508,58,38,14,4,2,548,35,balanced,turkey:200g; pasta:150g; peppers:100g; teriyaki:75g; oil:10g,"air fryer, oven","batch-cooking, meal-prep, balanced, air fryer, oven",1. Batch cook turkey (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook peppers. 4. Combine turkey with teriyaki. 5. Serve with pasta.
64,turkey_pasta_64,turkey,pasta,onion,pesto,508,58,38,14,4,2,709,13,quick,turkey:200g; pasta:150g; onion:100g; pesto:75g; oil:10g,microwave,"batch-cooking, meal-prep, quick, microwave",1. Batch cook turkey (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook onion. 4. Combine turkey with pesto. 5. Serve with pasta.
65,turkey_potatoes_65,turkey,potatoes,peppers,pesto,460,58,26,14,3,1,492,11,quick,turkey:200g; potatoes:150g; peppers:100g; pesto:75g; oil:10g,"air fryer, microwave, stovetop","batch-cooking, meal-prep, quick, air fryer, microwave, stovetop",1. Batch cook turkey (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook peppers. 4. Combine turkey with pesto. 5. Serve with potatoes.
66,turkey_potatoes_66,turkey,potatoes,carrots,soy sauce,460,58,26,14,3,1,513,43,balanced,turkey:200g; potatoes:150g; carrots:100g; soy sauce:75g; oil:10g,"air fryer, microwave, slow cooker","batch-cooking, meal-prep, balanced, air fryer, microwave, slow cooker",1. Batch cook turkey (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook carrots. 4. Combine turkey with soy sauce. 5. Serve with potatoes.
67,turkey_quinoa_67,turkey,quinoa,spinach,tomato sauce,508,64,32,14,3,2,471,12,quick,turkey:200g; quinoa:150g; spinach:100g; tomato sauce:75g; oil:10g,air fryer,"batch-cooking, meal-prep, quick, air fryer",1. Batch cook turkey (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook spinach. 4. Combine turkey with tomato sauce. 5. Serve with quinoa.
68,turkey_quinoa_68,turkey,quinoa,green beans,pesto,508,64,32,14,3,2,575,23,quick,turkey:200g; quinoa:150g; green beans:100g; pesto:75g; oil:10g,"microwave, slow cooker","batch-cooking, meal-prep, quick, microwave, slow cooker",1. Batch cook turkey (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook green beans. 4. Combine turkey with pesto. 5. Serve with quinoa.
