id,name,protein,carb,vegetable,sauce,calories,protein_g,carbs_g,fat_g,prep_time_min,difficulty,instructions
18,beef_quinoa_meal_2,beef,quinoa,zucchini,soy sauce,670,53,99,30,14,medium,1. Prepare the beef by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the beef until done. 5. Add the green beans and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the quinoa and serve.
19,beef_noodles_meal_1,beef,noodles,broccoli,soy sauce,400,22,47,22,13,hard,1. Prepare the beef by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the beef until done. 5. Add the carrots and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the noodles and serve.
20,beef_noodles_meal_2,beef,noodles,green beans,soy sauce,507,35,94,32,40,medium,1. Prepare the beef by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the beef until done. 5. Add the peppers and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the noodles and serve.
21,pork_rice_meal_1,pork,rice,broccoli,cream sauce,683,31,57,12,37,medium,1. Prepare the pork by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the pork until done. 5. Add the spinach and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the rice and serve.
22,pork_rice_meal_2,pork,rice,peppers,soy sauce,898,38,59,21,35,hard,1. Prepare the pork by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the pork until done. 5. Add the carrots and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the rice and serve.
23,pork_pasta_meal_1,pork,pasta,green beans,teriyaki,582,50,68,34,13,medium,1. Prepare the pork by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the pork until done. 5. Add the green beans and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the pasta and serve.
24,pork_pasta_meal_2,pork,pasta,zucchini,teriyaki,845,32,57,13,18,hard,1. Prepare the pork by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the pork until done. 5. Add the carrots and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the pasta and serve.
25,pork_potatoes_meal_1,pork,potatoes,peppers,teriyaki,494,53,84,34,37,medium,1. Prepare the pork by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the pork until done. 5. Add the broccoli and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the potatoes and serve.
26,pork_potatoes_meal_2,pork,potatoes,broccoli,tomato sauce,714,57,62,35,19,easy,1. Prepare the pork by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the pork until done. 5. Add the peppers and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the potatoes and serve.
27,pork_quinoa_meal_1,pork,quinoa,spinach,pesto,875,42,52,35,10,easy,1. Prepare the pork by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the pork until done. 5. Add the spinach and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the quinoa and serve.
28,pork_quinoa_meal_2,pork,quinoa,peppers,cream sauce,736,51,53,23,27,medium,1. Prepare the pork by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the pork until done. 5. Add the green beans and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the quinoa and serve.
29,pork_noodles_meal_1,pork,noodles,zucchini,tomato sauce,794,54,71,21,17,easy,1. Prepare the pork by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the pork until done. 5. Add the green beans and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the noodles and serve.
30,pork_noodles_meal_2,pork,noodles,zucchini,soy sauce,872,31,61,23,19,medium,1. Prepare the pork by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the pork until done. 5. Add the broccoli and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the noodles and serve.
31,tofu_rice_meal_1,tofu,rice,spinach,pesto,626,30,84,23,15,easy,1. Prepare the tofu by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the tofu until done. 5. Add the broccoli and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the rice and serve.
32,tofu_rice_meal_2,tofu,rice,green beans,tomato sauce,493,55,93,28,43,easy,1. Prepare the tofu by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the tofu until done. 5. Add the peppers and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the rice and serve.
33,tofu_pasta_meal_1,tofu,pasta,broccoli,soy sauce,747,55,50,32,34,hard,1. Prepare the tofu by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the tofu until done. 5. Add the peppers and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the pasta and serve.
34,tofu_pasta_meal_2,tofu,pasta,broccoli,teriyaki,580,30,69,12,49,hard,1. Prepare the tofu by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the tofu until done. 5. Add the green beans and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the pasta and serve.
35,tofu_potatoes_meal_1,tofu,potatoes,green beans,tomato sauce,574,25,46,31,21,medium,1. Prepare the tofu by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the tofu until done. 5. Add the spinach and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the potatoes and serve.
36,tofu_potatoes_meal_2,tofu,potatoes,carrots,soy sauce,673,52,73,14,59,hard,1. Prepare the tofu by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the tofu until done. 5. Add the green beans and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the potatoes and serve.
37,tofu_quinoa_meal_1,tofu,quinoa,peppers,teriyaki,516,60,94,27,56,easy,1. Prepare the tofu by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the tofu until done. 5. Add the spinach and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the quinoa and serve.
38,tofu_quinoa_meal_2,tofu,quinoa,zucchini,teriyaki,743,56,45,34,21,medium,1. Prepare the tofu by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the tofu until done. 5. Add the zucchini and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the quinoa and serve.
39,tofu_noodles_meal_1,tofu,noodles,green beans,pesto,460,50,55,16,24,hard,1. Prepare the tofu by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the tofu until done. 5. Add the carrots and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the noodles and serve.
40,tofu_noodles_meal_2,tofu,noodles,peppers,garlic sauce,834,34,70,24,52,hard,1. Prepare the tofu by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the tofu until done. 5. Add the peppers and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the noodles and serve.
41,salmon_rice_meal_1,salmon,rice,carrots,soy sauce,800,36,61,27,23,easy,1. Prepare the salmon by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the salmon until done. 5. Add the zucchini and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the rice and serve.
42,salmon_rice_meal_2,salmon,rice,broccoli,cream sauce,741,47,62,30,56,hard,1. Prepare the salmon by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the salmon until done. 5. Add the carrots and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the rice and serve.
43,salmon_pasta_meal_1,salmon,pasta,spinach,pesto,510,31,42,15,19,easy,1. Prepare the salmon by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the salmon until done. 5. Add the peppers and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the pasta and serve.
44,salmon_pasta_meal_2,salmon,pasta,broccoli,pesto,731,35,41,30,52,medium,1. Prepare the salmon by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the salmon until done. 5. Add the zucchini and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the pasta and serve.
45,salmon_potatoes_meal_1,salmon,potatoes,broccoli,soy sauce,698,34,44,11,37,hard,1. Prepare the salmon by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the salmon until done. 5. Add the green beans and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the potatoes and serve.
46,salmon_potatoes_meal_2,salmon,potatoes,broccoli,garlic sauce,643,31,90,24,54,medium,1. Prepare the salmon by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the salmon until done. 5. Add the broccoli and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the potatoes and serve.
47,salmon_quinoa_meal_1,salmon,quinoa,green beans,garlic sauce,782,52,73,30,30,hard,1. Prepare the salmon by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the salmon until done. 5. Add the carrots and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the quinoa and serve.
48,salmon_quinoa_meal_2,salmon,quinoa,zucchini,garlic sauce,540,39,76,31,54,hard,1. Prepare the salmon by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the salmon until done. 5. Add the green beans and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the quinoa and serve.
49,salmon_noodles_meal_1,salmon,noodles,carrots,pesto,678,25,52,11,30,medium,1. Prepare the salmon by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the salmon until done. 5. Add the carrots and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the noodles and serve.
50,salmon_noodles_meal_2,salmon,noodles,carrots,cream sauce,680,54,64,28,49,medium,1. Prepare the salmon by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the salmon until done. 5. Add the carrots and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the noodles and serve.
51,turkey_rice_meal_1,turkey,rice,spinach,teriyaki,473,34,84,30,45,easy,1. Prepare the turkey by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the turkey until done. 5. Add the zucchini and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the rice and serve.
52,turkey_rice_meal_2,turkey,rice,carrots,soy sauce,731,57,91,17,38,medium,1. Prepare the turkey by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the turkey until done. 5. Add the green beans and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the rice and serve.
53,turkey_pasta_meal_1,turkey,pasta,zucchini,soy sauce,471,53,40,28,51,easy,1. Prepare the turkey by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the turkey until done. 5. Add the spinach and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the pasta and serve.
54,turkey_pasta_meal_2,turkey,pasta,peppers,soy sauce,772,59,87,12,23,hard,1. Prepare the turkey by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the turkey until done. 5. Add the peppers and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the pasta and serve.
55,turkey_potatoes_meal_1,turkey,potatoes,broccoli,teriyaki,459,55,97,17,46,hard,1. Prepare the turkey by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the turkey until done. 5. Add the carrots and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the potatoes and serve.
56,turkey_potatoes_meal_2,turkey,potatoes,carrots,cream sauce,715,26,94,35,21,hard,1. Prepare the turkey by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the turkey until done. 5. Add the broccoli and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the potatoes and serve.
57,turkey_quinoa_meal_1,turkey,quinoa,zucchini,garlic sauce,709,52,74,27,26,medium,1. Prepare the turkey by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the turkey until done. 5. Add the peppers and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the quinoa and serve.
58,turkey_quinoa_meal_2,turkey,quinoa,peppers,garlic sauce,858,34,54,14,16,easy,1. Prepare the turkey by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the turkey until done. 5. Add the broccoli and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the quinoa and serve.
59,turkey_noodles_meal_1,turkey,noodles,zucchini,garlic sauce,504,56,40,31,18,hard,1. Prepare the turkey by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the turkey until done. 5. Add the carrots and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the noodles and serve.
60,turkey_noodles_meal_2,turkey,noodles,green beans,tomato sauce,858,33,93,18,42,medium,1. Prepare the turkey by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the turkey until done. 5. Add the green beans and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the noodles and serve.
61,shrimp_rice_meal_1,shrimp,rice,zucchini,pesto,600,40,73,23,27,easy,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the shrimp until done. 5. Add the green beans and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the rice and serve.
62,shrimp_rice_meal_2,shrimp,rice,broccoli,teriyaki,679,33,49,29,29,hard,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the shrimp until done. 5. Add the green beans and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the rice and serve.
63,shrimp_pasta_meal_1,shrimp,pasta,zucchini,soy sauce,734,41,53,23,15,medium,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the shrimp until done. 5. Add the spinach and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the pasta and serve.
64,shrimp_pasta_meal_2,shrimp,pasta,zucchini,pesto,845,29,69,35,50,hard,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the shrimp until done. 5. Add the broccoli and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the pasta and serve.
65,shrimp_potatoes_meal_1,shrimp,potatoes,spinach,teriyaki,658,60,91,12,27,hard,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the shrimp until done. 5. Add the spinach and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the potatoes and serve.
66,shrimp_potatoes_meal_2,shrimp,potatoes,broccoli,garlic sauce,538,24,51,28,24,easy,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the shrimp until done. 5. Add the carrots and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the potatoes and serve.
67,shrimp_quinoa_meal_1,shrimp,quinoa,peppers,teriyaki,830,22,86,29,47,hard,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the shrimp until done. 5. Add the peppers and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the quinoa and serve.
68,shrimp_quinoa_meal_2,shrimp,quinoa,peppers,tomato sauce,771,40,44,32,14,medium,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the shrimp until done. 5. Add the peppers and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the quinoa and serve.
69,shrimp_noodles_meal_1,shrimp,noodles,peppers,garlic sauce,442,30,54,19,20,hard,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the shrimp until done. 5. Add the broccoli and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the noodles and serve.
70,shrimp_noodles_meal_2,shrimp,noodles,zucchini,tomato sauce,672,25,68,28,26,easy,1. Prepare the shrimp by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the shrimp until done. 5. Add the zucchini and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the noodles and serve.
71,lentils_rice_meal_1,lentils,rice,spinach,teriyaki,533,55,42,17,58,medium,1. Prepare the lentils by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the lentils until done. 5. Add the spinach and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the rice and serve.
72,lentils_rice_meal_2,lentils,rice,green beans,pesto,754,36,95,23,57,hard,1. Prepare the lentils by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the lentils until done. 5. Add the peppers and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the rice and serve.
73,lentils_pasta_meal_1,lentils,pasta,spinach,pesto,525,55,86,28,25,medium,1. Prepare the lentils by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the lentils until done. 5. Add the spinach and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the pasta and serve.
74,lentils_pasta_meal_2,lentils,pasta,spinach,tomato sauce,878,45,49,16,20,easy,1. Prepare the lentils by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the lentils until done. 5. Add the broccoli and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the pasta and serve.
75,lentils_potatoes_meal_1,lentils,potatoes,zucchini,cream sauce,680,41,41,14,17,medium,1. Prepare the lentils by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the lentils until done. 5. Add the zucchini and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the potatoes and serve.
76,lentils_potatoes_meal_2,lentils,potatoes,spinach,garlic sauce,634,40,69,28,10,medium,1. Prepare the lentils by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the lentils until done. 5. Add the peppers and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the potatoes and serve.
77,lentils_quinoa_meal_1,lentils,quinoa,spinach,pesto,513,43,85,34,49,easy,1. Prepare the lentils by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the lentils until done. 5. Add the peppers and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the quinoa and serve.
78,lentils_quinoa_meal_2,lentils,quinoa,spinach,garlic sauce,408,55,70,29,58,hard,1. Prepare the lentils by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the lentils until done. 5. Add the zucchini and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the quinoa and serve.
79,lentils_noodles_meal_1,lentils,noodles,green beans,tomato sauce,822,20,94,27,57,easy,1. Prepare the lentils by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the lentils until done. 5. Add the zucchini and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the noodles and serve.
80,lentils_noodles_meal_2,lentils,noodles,zucchini,tomato sauce,614,22,88,21,40,hard,1. Prepare the lentils by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the lentils until done. 5. Add the peppers and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the noodles and serve.
81,pork_rice_meal_extra_81,pork,rice,spinach,pesto,706,41,73,11,45,easy,1. Prepare the pork by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the pork until done. 5. Add the spinach and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the rice and serve.
82,pork_noodles_meal_extra_82,pork,noodles,zucchini,tomato sauce,767,21,64,15,26,easy,1. Prepare the pork by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the pork until done. 5. Add the zucchini and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the noodles and serve.
83,chicken_rice_meal_extra_83,chicken,rice,peppers,teriyaki,794,30,88,30,39,hard,1. Prepare the chicken by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the chicken until done. 5. Add the peppers and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the rice and serve.
84,salmon_quinoa_meal_extra_84,salmon,quinoa,zucchini,garlic sauce,885,29,62,34,10,hard,1. Prepare the salmon by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the salmon until done. 5. Add the zucchini and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the quinoa and serve.
